Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
265 WEST 121 STREET,4,3,3,17,100.92,17,48,2001,,0,0
160 LEXINGTON AVENUE,7.5,0,1,39.5,80,39,80,1895,E,1987,0
29 KENMARE STREET,1,0,3,70,37,70,37,1948,,2011,0
420 EAST 119 STREET,6,16,17,25,148.25,25,95,1900,E,0,0
908 PARK AVENUE,14,22,25,81.17,80.5,81,78,1925,,0,0
209 AVENUE B,0,0,0,29.5,93,0,0,0,,0,0
2322 1 AVENUE,1,0,1,100,90,60,30,1956,E,1957,2008
353 CENTRAL PARK WEST,21,17,19,60.71,50,61,50,1992,,0,0
339 EAST 65 STREET,5,15,15,25,100.42,25,72,1910,,0,0
134 EAST 24 STREET,4,7,8,22.5,83.75,23,50,1900,E,0,0
350 EAST 77 STREET,6,80,80,150,102.17,150,83,1920,E,1987,0
222 EAST 50 STREET,3,5,5,15.63,88.42,15.63,51,1910,E,1986,0
24 WEST 121 STREET,4,2,2,20,100.92,20,69,1909,,1982,2005
304 WEST 105 STREET,5,9,9,19,100.92,19,79,1910,E,0,0
52 EAST 73 STREET,5,1,1,22,102.17,22,66,1899,E,0,0
242 EAST 2 STREET,7,8,9,74,105.92,24.67,103,2005,,0,0
106 WEST 130 STREET,3,4,4,15,99.92,15.83,99.83,1910,E,1993,0
225 EAST 96 STREET,6,20,20,27.83,100.92,27,88,1920,E,0,0
938 ST NICHOLAS AVENUE,6,52,52,103.58,150.92,92,149,1909,E,1986,0
326 EAST 14 STREET,0,0,0,22.5,103.25,0,0,0,,0,0
115 WEST 30 STREET,12,0,7,161.42,90.17,161.42,79,1912,,0,0
101 EAST 115 STREET,6,20,24,40,75.69,40,75,1920,E,2005,0
737 10 AVENUE,4,0,2,200.83,625,200.83,575,1930,,2000,2008
137 WEST 82 STREET,5,10,10,25,79.25,25,82,1900,E,2004,0
90 CONVENT AVENUE,5,40,40,63.33,127.42,63,108,1901,E,1987,0
1827 ADAM C POWELL BLVD,5,15,15,37.88,100,37,87,1900,E,1987,2000
130 1 AVENUE,5,8,10,25.75,54,26,54,1900,E,1986,0
440 WEST 47 STREET,5,45,46,75.5,100.42,76,70,1940,,1984,0
230 EAST 6 STREET,5,10,10,25,97,25,79,1920,E,1976,1987
39 BETHUNE STREET,3,1,1,22,79.1,66,78,1899,E,0,0
173 WEST 133 STREET,5,8,10,24.92,75,24.92,71,1910,E,1993,0
65 11 AVENUE,0,0,0,206.5,79.67,0,0,0,,0,0
102 EAST 126 STREET,0,0,0,115,99.92,0,0,0,,0,0
160 WEST 132 STREET,3,8,8,19.83,99.92,20,52,1910,,0,0
555 3 AVENUE,4,3,4,24.67,100,24.67,95.5,1920,E,2009,2009
556 WEST 183 STREET,3,2,2,18.75,104.92,18.75,45,1950,,2003,0
560 PARK AVENUE,7,1,5,100.42,125,100,125,1916,,0,0
328 EAST 25 STREET,2,2,4,25,98.75,22,40,1910,,0,0
355 BOWERY,3.5,7,9,34.83,87.83,35,88,1900,E,1987,0
3 WEST 16 STREET,6,5,6,33.33,92,33,92,1920,E,1984,2003
229 WEST 10 STREET,2,0,1,88.83,192.25,88.84,120,1969,,0,0
120 WEST 139 STREET,5,20,20,26,99.92,26,82,1910,E,1991,0
103 WEST 136 STREET,3,4,4,16.67,99.92,17,64,1910,,0,0
45 ST JAMES PLACE,6,20,21,13,123.75,13,110,1900,E,1987,0
202 WEST 81 STREET,5,25,25,37.5,102.17,38,92,1920,E,1969,0
202 WEST 102 STREET,5,19,19,36.5,82,36,71,1920,E,0,0
138 ORCHARD STREET,5,16,18,25.08,88,25,71,1900,E,0,0
3430 BROADWAY,6,51,58,99.92,150,99,140,1930,E,0,0
380 PARK AVENUE,22,0,27,200.83,192,200.83,192,1952,,0,0
104 SUFFOLK STREET,5,20,20,25.25,100,25,89,1920,E,1988,0
65 MORNINGSIDE AVENUE,5,10,10,33,100,33,90,1909,,2000,1989
874 BROADWAY,12,23,24,24.08,88.33,24,86,1900,,1981,0
820 2 AVENUE,19,0,30,100.42,100,100,100,1962,,1988,0
76 WEST 69 STREET,5,7,12,30,100.42,30,95,1910,E,1986,0
508 WEST 167 STREET,6,24,24,50,85,50,71,1920,E,1989,0
180 EAST 123 STREET,0,0,1,167,100.92,0,0,0,,0,0
2 CHARLTON STREET,16,175,181,203.25,109.25,193,96,1966,E,1986,0
133 WEST 3 STREET,4,9,10,25,100.25,25,39,1900,E,0,0
608 EAST 11 STREET,6,12,12,25,94.75,25,95,2003,,0,0
319 EAST 73 STREET,5,20,20,25.08,102.17,25,81,1910,,1988,0
150 EAST 46 STREET,5,6,8,17,100.42,17,86,1926,E,1978,0
5056 BROADWAY,5,24,24,81.58,97,74,85,1920,E,1987,0
1012 LEXINGTON AVENUE,4,3,5,17,80,17,68,1930,E,0,0
445 EAST 83 STREET,5,10,10,25.08,102.17,25,87,1910,E,1978,0
333 EAST 82 STREET,3,6,6,17.83,102.17,18,50,1920,E,0,0
10 WEST 29 STREET,1,0,0,37.5,98.75,0,10,0,,0,0
231 11 AVENUE,9,0,11,352.08,67.67,345.08,67.67,1913,,2014,0
729 AVENUE OF THE AMER,4,0,4,24.67,66.25,25,66,1920,E,1987,0
571 WEST 173 STREET,2,0,0,34,50,18,37,1940,,0,0
232 WEST 74 STREET,4,8,8,21,102.17,21,72,1901,,1955,0
211 EAST 10 STREET,6,20,20,25,94.75,25,85,1900,E,0,0
40 VAN CORLEAR PLACE,2,1,1,19.83,74.58,19,40,1910,E,0,0
330 WEST 108 STREET,4,9,9,21.33,100,21,87,1923,,1987,2007
32 WEST 75 STREET,4,8,8,20,102.17,20,70,1910,E,0,0
216 EAST 49 STREET,5,0,7,42,100.42,42,95,1910,E,1949,0
600 10 AVENUE,5,18,19,25,100,25,89.5,1920,E,0,0
117 WEST 10 STREET,3,2,3,19.17,60,19.17,42,1910,E,0,0
152 THOMPSON STREET,6,30,30,49,100.17,49,83,1900,E,0,0
80 PEARL STREET,11,0,3,59.75,135.67,60,138,1929,,1990,0
521 EAST 118 STREET,0,0,0,20.42,100.92,0,0,0,,0,0
69 MURRAY STREET,10,8,9,24.92,100,25,100,1920,,1982,0
314 WEST 105 STREET,5,15,15,20,100.92,20,75,1923,E,1988,0
137 WEST 87 STREET,3,2,2,14,100.67,14,55,1899,E,0,0
475 WEST 186 STREET,6,61,61,112.33,150.42,102,136,1938,,1987,0
313 EAST 100 STREET,0,0,0,194,201.83,0,0,0,,0,0
2121 AMSTERDAM AVENUE,3,3,4,50,100,26,45,1920,E,0,0
183 THOMPSON STREET,7,55,55,57.08,100,48,86,1900,E,1985,0
70 WEST 3 STREET,3,3,4,0.06,0,0,0,1920,,0,0
40 WEST 83 STREET,4,2,2,16,102.17,16,55,1901,E,1914,0
407 GREENWICH STREET,5,24,30,75.08,100,75,100,1915,,0,0
505 WEST 134 STREET,5,19,19,39.33,99.92,39,87,1905,E,0,0
402 WEST 146 STREET,3,2,2,20,99.92,20,66,1926,,0,0
191 EAST 100 STREET,5,16,16,25,100.92,25,88,1910,E,1992,0
38 WEST 120 STREET,3,1,1,18.33,100.92,18,70,1909,,2001,2006
652 WEST 163 STREET,6,54,54,137.5,99.92,130,87,1923,,1987,0
251 EAST 61 STREET,5,1,1,19.5,100.42,19.5,100,1919,E,2015,0
203 WEST 14 STREET,6,9,11,25,96,25,94,1920,E,0,0
251 WEST 80 STREET,3,0,0,55,77.17,50,77,1910,E,0,0
182 LEXINGTON AVENUE,4,3,4,21.42,47.83,21.5,47.5,1920,,2003,2003
WEST 97 STREET,0,0,0,165,180.75,0,0,0,,0,0
163 WEST 21 STREET,15,108,110,99.96,98.75,20,50,2005,,0,0
303 WEST 137 STREET,3,8,8,15,99.92,15,54,1953,,0,0
1693 2 AVENUE,5,8,10,25,80,25,65,1900,E,1988,2006
87 CLINTON STREET,5,13,17,25,100,25,80,1920,E,0,0
40 WEST 39 STREET,5,0,6,25,98.75,25,94,1915,,1985,0
69 WEST 126 STREET,3,3,3,17.92,99.92,18,46,1909,,1988,2008
5 RIVINGTON STREET,5,16,18,28.75,99.5,29,68,1900,E,1985,0
225 EAST 34 STREET,22,191,192,160,98.75,98,160,2007,,1971,0
235 EAST 117 STREET,6,33,35,50,100.92,50,86,1910,E,1988,0
107 EAST 130 STREET,6,179,179,122.5,99.92,80,86,1900,E,1971,0
165 BENNETT AVENUE,6,79,79,140.5,89.83,131,98,1940,E,1987,0
50 EAST 57 STREET,7,0,1,25,100.42,25,100,1930,,1996,0
2510 FREDRICK DOUGLASS BL,0,0,0,60,100,0,0,0,,0,0
3915 BROADWAY,6,44,50,99.92,125,100,115,1920,E,0,0
1496 1 AVENUE,7,35,40,64,52.17,0,0,1910,,0,0
360 AMSTERDAM AVENUE,16,127,134,102.17,100,102,100,1929,,1986,0
73 WEST 85 STREET,4,14,14,17.5,102.17,18,62,1900,E,0,0
358 WEST 30 STREET,3,6,6,18.33,98.75,18,76,1900,E,1987,0
224 EDGECOMBE AVENUE,3,8,8,19.17,84.92,19.17,42,1901,E,0,0
417 WEST 148 STREET,3,2,2,18,99.92,18,55,1899,E,0,0
7 EAST 76 STREET,5,1,1,24.5,102.33,24.5,70,1923,E,0,0
418 EAST 76 STREET,5,10,17,25,102.17,25,71,1910,,0,0
114 WAVERLY PLACE,4,4,4,22,97.17,22,55,1900,E,0,0
32 LITTLE WEST 12 ST,2,0,1,34.67,86.75,34.67,55,1920,E,2002,0
244 GRAND STREET,6,0,7,25,75,25,75,1920,,2008,0
2068 5 AVENUE,4,3,3,19.5,75,20,61,1880,,0,0
46 WEST 127 STREET,3,3,3,18,99.92,18,48,1909,,1995,0
12 SYLVAN TERRACE,2,2,2,19.5,34.5,19.5,25,1899,E,0,0
56 WEST 128 STREET,3,2,2,22.5,99.92,23,45,1910,E,2000,0
266 WEST 23 STREET,5,3,5,23.58,79,23.58,64,1920,,1986,0
1540 1 AVENUE,35,310,316,204.33,106.5,202,101,1980,,0,0
443 EAST 118 STREET,3,3,3,19.75,100.92,19.75,40,1899,E,0,0
217 WEST 79 STREET,5,8,9,17,102.17,17,78,1900,E,1961,0
172 ALLEN STREET,2,0,5,35.25,75,35,73,1920,,1986,0
152 ORCHARD STREET,4,9,10,24.92,88,25,51,1962,,1987,2003
2141 AMSTERDAM AVENUE,2,0,1,25,100,25,59,1896,,1965,0
1790 MADISON AVENUE,4,3,3,20,109.25,20,45,2000,,0,0
162 AVENUE C,10,439,439,352.83,367,54.83,155.83,1950,,0,0
225 WEST 78 STREET,3,8,8,19,102.17,19,68,1900,E,0,0
328 WEST 22 STREET,3,2,2,21,98.75,21,44,1910,E,0,0
206 5 AVENUE,5,0,5,28.17,112,28,108,1980,,0,0
321 EAST 22 STREET,6,115,116,150.67,98.75,122,97,1968,,1985,0
949 PARK AVENUE,13,4,5,0.03,80,20,71.17,2009,,0,0
2793 8 AVENUE,5,12,12,25,100,25,86,1910,,0,0
302 WEST 12 STREET,17,128,131,59.21,84.04,0,0,1910,,0,0
139 WEST 85 STREET,4,5,5,18,97.5,18,62,1900,E,1971,0
349 AVENUE OF THE AMER,4,3,4,22,66,22,66,1910,E,2005,0
308 WEST 105 STREET,5,14,14,19,100.92,19,73,1923,E,0,0
128 EAST 83 STREET,5,18,20,28.92,102.17,29,83,1928,E,0,0
128 WEST HOUSTON STREET,6,20,22,25,100,25,100,1900,E,1986,0
11 1/2 WEST 26 STREET,5,6,9,20.17,62.67,20.17,53,1905,E,0,0
420 WEST 49 STREET,5,9,10,25,100.83,25,60,1910,E,0,0
412 WEST END AVENUE,8,37,37,60,125,60,118,1900,,1983,0
198 PINEHURST AVENUE,6,60,60,151.67,88.83,151,89,1920,,1988,0
154 EAST 123 STREET,0,0,0,25,100.92,0,0,0,,0,0
358 WEST 51 STREET,5,56,56,38.5,100.42,39,88,1920,E,0,0
461 WEST 144 STREET,4,7,7,20,99.92,20,53,1920,,0,0
123 ELIZABETH STREET,5,10,12,25,80,25,51,1900,E,1981,0
1777 1 AVENUE,5,8,10,24.5,75,25,60,1920,E,1986,0
123 EAST 92 STREET,3,1,1,12.5,100.67,12.5,31,1910,E,0,0
852 ST NICHOLAS AVENUE,3,2,2,21.42,80,21,60,1920,,0,0
174 RIVINGTON STREET,5,25,27,25,100,25,84,1920,E,1987,0
15 BARROW STREET,4,4,5,25,81.08,25,78,1910,E,1968,0
922 MADISON AVENUE,5,6,10,80,18,80,18,1900,E,2004,0
900 PARK AVENUE,28,124,125,123.17,100,0,0,1973,,2003,0
573 3 AVENUE,16,58,59,60,105,60,105,1963,,0,0
346 WEST 17 STREET,12,0,2,175,184,175,180,1966,,2008,0
442 WEST 57 STREET,12,118,118,100,201,100,100,1960,,0,0
56 WEST 124 STREET,3,3,3,18.75,100.92,19,49,1909,,1988,2009
95 FRANKLIN STREET,7,8,9,48.25,100,48.75,90,1915,,0,0
4055 9 AVENUE,2,0,1,359.75,373,340,280,1992,,0,0
232 BROOME STREET,4,0,1,51,96,37,87,1920,,0,0
148 WEST 120 STREET,3,2,2,16.67,100.92,17,51,1920,,2007,0
181 AVENUE C,6,30,34,51.75,83,52,80,1910,E,2011,2010
56 NASSAU STREET,27,0,10,178.17,128.75,157,115,1986,,1989,0
409 8 AVENUE,2,0,3,24.71,100,25,88,1920,E,1989,0
495 3 AVENUE,5,12,13,24.75,80,25,66,1910,E,0,0
565 PARK AVENUE,13,28,31,65.42,100.08,65.42,83,1913,,1987,2011
20 WEST 130 STREET,3,2,2,25,99.92,20,55,1909,,2003,0
164 LUDLOW STREET,5,16,17,26,89.5,26,72,1900,E,1987,0
213 WEST 35 STREET,13,0,28,131.42,98.75,131,99,1921,,0,0
111 WEST 68 STREET,5,15,16,20.5,100.42,21,85,1920,E,1984,0
715 LEXINGTON AVENUE,3,0,3,80.42,85,80,85,2004,,0,0
3570 BROADWAY,6,37,44,99.92,100,98,87,1940,E,0,0
97 AVENUE A,4,3,4,22.67,100,23,100,1900,E,0,0
7 ESSEX STREET,12,19,19,60,87.5,60,80,2002,,0,0
247 WEST 145 STREET,6,13,15,51,99.92,51,85,1920,E,1992,0
2157 5 AVENUE,0,0,0,25,99,0,0,0,,0,0
16 EAST 23 STREET,6,7,8,25,98.75,25,85,1900,,1982,2015
35 MT MORRIS PARK WEST,6,32,32,100.92,100,101,99,1900,E,1980,0
444 GREENWICH STREET,1,0,1,42,80,42,80,1920,,0,0
608 EAST 9 STREET,6,24,24,27.5,93.92,28,78,1910,E,0,0
240 WEST 145 STREET,3,0,2,109,99.92,27,55,1948,E,1989,0
10 PITT STREET,0,0,0,74.08,81.79,0,0,0,,0,0
269 WEST 71 STREET,3,1,1,18,92.17,18,50,1910,E,0,0
36 EAST 8 STREET,3,7,13,100.17,114.92,100.16,114.92,1940,,1984,0
625 WEST 138 STREET,5,20,20,50,99.92,50,85,1910,E,1987,0
799 PARK AVENUE,21,75,80,102.17,100,98,98,1960,,0,0
247 BROOME STREET,5,20,21,25,87.5,25,76,1900,E,1988,0
12 EAST 8 STREET,6,15,15,50,120,50,48,1930,E,0,0
103 LEXINGTON AVENUE,5,15,16,24.67,100,25,84,1940,E,0,0
212 EDGECOMBE AVENUE,3,1,1,17.17,70.17,17.17,42,1901,E,1993,0
526 EAST 11 STREET,5,18,20,25,104.5,25,86,1900,E,0,0
1 RIVERSIDE DRIVE,5,0,1,45.5,85.42,28,62,1900,E,0,0
110 EAST 10 STREET,4,2,2,22,64.08,22,45,1900,E,2014,0
315 WEST 46 STREET,3,5,6,20,100.42,20,50,1910,E,0,0
3855 10 AVENUE,5,22,26,46.75,100,47,90,1915,E,1985,0
112 HAVEN AVENUE,5,31,31,86.58,103.25,87,88,1915,,1983,0
4 WEST 126 STREET,3,4,4,17.5,100.75,18,70,1910,,2015,0
37 EAST 19 STREET,4,1,3,20,92,20,90,1900,E,1988,0
335 EAST 51 STREET,14,97,97,75,75,0,0,1963,,0,0
171 EAST 115 STREET,4,8,8,20,68.5,20,63,1910,E,1987,2004
255 WEST 90 STREET,12,38,43,100.67,100,101,90,1920,E,0,0
113 AVENUE A,5,8,9,24.33,100,24,52,1900,,1986,0
142 WEST 11 STREET,4,5,5,22.5,108.75,23,60,1915,E,0,0
2492 FREDRICK DOUGLASS BL,5,10,11,25,100,25,80,1910,,1993,0
50 NAGLE AVENUE,3,0,2,100,175,100,147,1956,,1988,0
87 EAST 111 STREET,0,0,0,38.13,100.92,0,0,0,,0,0
49 CLINTON STREET,5,17,18,25,100,25,82,1910,E,1986,0
117 CHARLES STREET,4,13,13,25,95.33,25,52,1910,E,1961,0
WEST END AVENUE,0,0,0,0,0,0,0,0,,0,0
129 EAST 10 STREET,5,11,11,27,100,27,75,1900,E,1988,0
151 WEST 91 STREET,3,8,8,18.5,100.67,19,52,1910,E,1957,0
160 WEST 22 STREET,13,49,49,50,98.75,50,67,2000,,0,0
319 WEST 89 STREET,3,4,4,20,100,20,71,1910,E,1981,0
344 WEST END AVENUE,4,8,8,19.83,90,20,71,1920,,1987,0
85 BOWERY,5,16,18,25,112,25,97,1910,E,1979,0
36 EAST 62 STREET,4,0,1,40,100.42,40,93,1911,E,0,0
2100 AMSTERDAM AVENUE,5,14,16,27.92,100,28,92,1905,,0,0
801 9 AVENUE,5,12,14,25,100,25,96,1910,E,0,0
15 EAST 17 STREET,6,0,6,25,79.75,25,76,1910,E,0,0
223 EAST 50 STREET,6,24,25,40,107,40,80,1928,,0,0
125 EAST 69 STREET,5,5,5,20,100.42,20,92,1910,,1986,0
151 GRAND STREET,5,0,7,23.17,105.5,23,106,1915,,0,0
279 MADISON AVENUE,28,0,11,150.67,175,151,175,1926,,2013,0
610 WEST 143 STREET,6,49,49,100,99.92,100,86,1930,,1987,0
243 WEST 14 STREET,5,5,6,25.27,103.25,25,100,1910,E,2006,0
265 BOWERY,2,1,2,24.5,101.5,24.5,76,1985,,2013,0
318 EAST 84 STREET,5,13,15,25,102.17,25,88,1910,E,1989,1995
404 EAST 80 STREET,5,10,10,24.75,73.83,25,71,1910,E,1966,1997
3 SYLVAN COURT,2,1,1,15.08,57,15.08,36,1899,E,0,0
226 WEST 15 STREET,3,24,24,49.5,86.5,25,46,1900,E,1979,0
103 SULLIVAN STREET,5,18,20,25,100,25,73,1900,E,1985,0
429 EAST 12 STREET,4,0,0,24.75,68.75,24.69,44.19,1900,E,0,0
357 EAST 68 STREET,5,20,21,25,98.75,25,73,1910,,1989,0
219 EAST 31 STREET,3,1,2,17,98.75,17,49,1920,E,1962,0
337 EAST 90 STREET,5,20,20,25,100.67,25,70,1920,E,1985,0
103 AVENUE A,6,20,22,0.1,0,0,0,1920,,0,0
128 EAST 63 STREET,5,0,1,25,100.42,25,70,1875,E,1982,0
443 GREENWICH STREET,8,53,53,176,175.5,174,198,1905,E,2010,0
668 10 AVENUE,5,9,10,25.08,100.42,25.08,60,1910,E,2005,0
310 EAST 50 STREET,3,1,1,18.5,100.42,18.5,52,1899,E,0,0
169 EAST 74 STREET,4,5,6,20,102.17,20,85,1910,,1984,0
144 BLEECKER STREET,4,10,12,50,125,50,125,1900,E,2003,2005
303 BLEECKER STREET,3,1,2,25.17,50.83,25.17,50.83,1910,E,0,0
675 RIVERSIDE DRIVE,0,0,0,100,3300,0,0,1920,,0,0
2 BROAD STREET,23,0,1,195.92,156.5,195.92,156.5,1904,,2006,0
1700 AMSTERDAM AVENUE,5,8,10,24.92,84,25,79,1910,,1987,0
2375 ADAM C POWELL BLVD,5,13,15,25,100,25,90,1910,E,2014,0
154 5 AVENUE,13.5,0,107,92,192,92,192,1900,,1979,0
53 EAST 74 STREET,6,10,10,19,102.17,19,91,1910,E,0,0
2301 5 AVENUE,19,329,329,647.33,298.92,199.83,230.92,1970,,0,0
15 WEST 72 STREET,36,497,504,224.75,204.33,200,204,1964,,1986,0
142 WEST HOUSTON STREET,3,3,4,20,79.33,20,76,1940,E,1983,0
231 EAST 89 STREET,5,20,20,25,100.67,25,80,1920,E,1984,0
4308 BROADWAY,5,21,24,37.92,97.92,37,82,1907,,1987,0
325 EAST 89 STREET,5,10,10,25,100.67,25,68,1920,E,0,0
1497 ST NICHOLAS AVENUE,5,23,27,57.67,100,58,90,1909,,1987,0
104 EAST 101 STREET,3,1,1,15.92,100.92,15,46,1890,E,0,0
87 EAST 4 STREET,4,8,9,23.5,72.17,24,50,1900,,0,0
65 WADSWORTH TERRACE,5,46,46,100,116,96,105,1925,,1981,0
39 CHARLES STREET,3,8,8,16.67,95,17,46,1900,E,0,0
212 WEST 141 STREET,6,18,18,50,99.92,50,84,1920,,1988,1999
1270 BROADWAY,12,0,80,118.58,98,98,110,1912,,1981,0
129 EAST 4 STREET,5,22,24,25.42,96.17,25,80,1900,E,1987,0
212 EAST 77 STREET,5,39,39,50,102.17,50,74,1950,E,1988,0
19 WEST 21 STREET,12,0,49,105.08,98.75,105,97,1908,,0,0
235 EAST 2 STREET,5,5,5,24.85,78.5,0,0,2003,,0,0
460 WEST BROADWAY,5.5,5,10,50,75,50,75,1900,,1987,1997
548 WEST 22 STREET,4,0,4,100,98.75,100,93,1920,,1991,0
204 CENTRE STREET,0,0,0,27.17,155,0,0,0,,0,0
701 WEST 177 STREET,6,38,45,126.17,125.67,118,126,1920,E,1987,0
WEST 133 STREET,0,0,0,41.5,200.5,0,0,0,,0,0
209 HENRY STREET,6,10,12,24,85,24,85,1900,E,1995,0
1642 LEXINGTON AVENUE,6,25,32,50.92,85,50,85,1915,E,0,0
306 EAST 126 STREET,0,0,0,25,99.92,0,0,0,,0,0
631 WEST 207 STREET,5,26,27,62.5,100,63,84,1930,E,1988,0
343 EAST 84 STREET,3,1,1,20,102.17,20,40,1880,E,0,0
333 WEST 52 STREET,14,0,14,82.83,100.42,82.83,100.42,1928,,0,0
264 WEST 22 STREET,5,20,20,25,98.75,25,86,1920,,0,0
113 WEST 88 STREET,4,1,1,17,100.67,17,50,1889,E,0,0
2 EAST END AVENUE,10,57,57,102.17,148,102,146,1910,,1980,0
13 STANTON STREET,6,10,11,25,100,25,50,1920,E,1993,0
425 WEST 43 STREET,3,4,4,18.33,100,18.33,56,1910,E,2006,0
135 WEST 143 STREET,6,22,22,41.67,99.92,41.67,86.92,1920,,1989,0
129 WEST 129 STREET,4,4,4,25,99.92,25,58,1910,E,1982,2007
53 ST MARKS PLACE,4,5,5,25,93.92,25,61,1900,,0,0
330 WEST 15 STREET,6,24,24,50,80,50,62,1904,,1984,0
57 EAST 78 STREET,4,1,1,18.75,102.17,18.75,50,1899,E,0,0
230 EAST 121 STREET,4,0,1,25,100.92,25,95,2004,,0,0
19 WEST 16 STREET,3.5,8,8,25,92,25,68,1920,E,0,0
167 EAST 128 STREET,0,0,0,182.17,210,0,0,1900,,0,0
569 WEST 191 STREET,6,30,30,50,100,50,86,1923,,0,0
104 TRINITY PLACE,2,0,3,60.92,13.17,60,13,1900,E,0,0
61 MOTT STREET,6,17,18,25,100.5,25,88,1910,E,0,0
7 PARK AVENUE,22,236,243,48.08,183.5,76,184,1953,,1987,0
237 WEST 135 STREET,5,10,10,25,99.92,25,84,1910,,1995,0
35 ALLEN STREET,5,16,20,25,87.5,25,62,1920,E,1989,0
19 VERMILYEA AVENUE,5,18,22,50,150,50,104,1922,E,1986,0
53 WARREN STREET,6,6,6,25.33,75.58,25,73,1920,,1987,2006
40 EAST 68 STREET,4,22,22,45,100.42,45,91,1910,E,1986,0
972 ST NICHOLAS AVENUE,5,12,12,25.42,100,25,95,1920,E,1939,2005
2508 ADAM C POWELL BLVD,6,17,19,39.83,100,40,84,1920,E,2008,0
670 9 AVENUE,5,8,10,25.08,82.17,25,67,1920,E,0,0
32 WEST 128 STREET,6,6,6,25,99.92,25,58,2003,,0,0
273 GRAND STREET,6,0,7,40,75,40,75,1900,E,0,0
134 WEST 30 STREET,5,0,2,100.58,98.75,90,93,1907,,0,0
34 GANSEVOORT STREET,5,0,6,25,88.58,25,88.58,1910,E,1987,0
417 WEST BROADWAY,1,0,1,25,105,25,98,1950,,1981,1998
187 GRAND STREET,3,2,3,20.08,74.5,20,49,1910,E,0,0
105 EAST 15 STREET,10,71,71,50,103.25,50,92,1900,,1986,0
317 WEST 88 STREET,4,10,10,20,100.67,20,94,1900,E,1984,0
970 PARK AVENUE,15,40,42,102.17,90,98,78,1912,,0,0
308 EAST 106 STREET,0,0,0,25,100.92,0,0,0,,0,0
422 EAST 115 STREET,4,8,8,25,100.92,25,60,1900,E,1995,0
134 WEST 58 STREET,15,120,121,52.67,100.42,53,76,1930,E,1980,0
1650 MADISON AVENUE,0,0,0,43.92,100,0,0,0,,0,0
507 MADISON AVENUE,21,0,2,100.42,68.33,100.42,68.33,1929,,0,0
220 WEST 26 STREET,11,125,129,179.25,98.75,179,98,2000,,0,0
315 PARK AVENUE SOUTH,20,0,25,98.75,150,98.75,150,1911,,1986,0
7 HAMILTON PLACE,2,0,6,135.67,81,131,81,1950,E,0,0
146 EAST 123 STREET,5,12,17,35,100.92,33,95,1910,,0,0
269 WEST 73 STREET,4,18,18,37,102.17,18,62,1940,E,0,0
10 EAST 45 STREET,4,0,1,45,100.42,45,95,1930,,0,0
797 8 AVENUE,4,0,1,29,81,29,75,1925,E,1989,0
160 EAST 71 STREET,5,1,1,16.25,100.42,16.25,55,1910,E,2011,0
157 WEST 47 STREET,10,0,2,80,100.42,80,100,1906,,1988,2006
420 EAST 73 STREET,5,20,20,25,102.17,25,82,1910,E,2011,2010
46 HAMILTON TERRACE,3,2,2,17,100,17,52,1899,E,0,0
1590 AMSTERDAM AVENUE,5,44,51,99.92,100,49,85,1905,E,1988,0
514 WEST 153 STREET,3,4,4,25,99.92,22,49.92,1920,E,0,0
66 EAST BROADWAY,5,13,14,25,68.25,25,50,1900,E,1969,0
1253 ST NICHOLAS AVENUE,6,32,37,75,100,75,87,1910,E,1989,0
161 WEST 133 STREET,5,12,12,25,99.92,25,86,1910,,0,0
457 MADISON AVENUE,4.5,0,2,60,74,60,75,1909,,2013,0
232 EAST 62 STREET,4,1,1,20,100.42,20,45,1905,E,0,0
246 WEST 123 STREET,3,1,1,13.83,100.92,14,54,1910,E,1986,0
1471 2 AVENUE,6,22,23,25,100,25,83,1910,,0,0
106 EAST 116 STREET,6,20,22,37.75,100.92,37,90,1910,E,1988,0
233 EAST 34 STREET,5,8,9,25,98.75,25,50,1910,E,0,0
220 EAST 36 STREET,5,29,29,40,98.75,40,84,1910,E,1983,1988
411 EAST 57 STREET,17,103,104,69.83,116,70,116,1959,,1988,0
4023 BROADWAY,1,0,11,167.92,137,135,70,1950,E,0,0
313 WEST 47 STREET,5,10,10,30,100.42,30,83,1920,,1986,0
416 EAST 10 STREET,6,30,30,46,92.25,46,74,1900,E,1977,0
2056 5 AVENUE,6,21,21,49.92,110,50,110,1920,,2005,0
98 CHRISTOPHER STREET,6,20,22,25,70,25,50,1900,E,0,0
133 WEST 118 STREET,3,4,4,20,100.92,20,74,1920,,0,0
326 WEST 87 STREET,3,1,1,20,100.67,20,71,1900,E,1987,2005
241 BOWERY,3,0,3,25.58,114,26,98,1920,E,1989,2011
245 SEAMAN AVENUE,6,26,26,50,100,50,84,1937,,1989,0
112 EAST 90 STREET,4,12,12,27.5,100.67,27,80,1910,E,0,0
230 WEST 78 STREET,21,34,34,50,102.17,0,0,2008,,0,0
117 ESSEX STREET,5,8,10,25,65.17,91.2,75,1900,,1988,0
232 MOTT STREET,1,0,1,25.34,37.04,25,37,1900,,0,0
230 EAST 124 STREET,6,20,20,59,100.92,50,69,2009,,0,0
2188 BROADWAY,2,0,11,103,45.17,97,45,1910,E,2013,0
321 EAST 61 STREET,4,0,1,95.12,100.42,40,84,1910,,0,0
